seq;GEORGE
10606;Sim
10602;Sim
10601;Sim
9834;SIM
9833;SIM
10600;Sim
10599;Sim
10598;Sim
10591;Sim
9828;SIM
10589;Sim
9826;SIM
10574;Sim
10572;Sim
9823;SIM
10569;Sim
10565;Sim
10561;Sim
10559;Sim
10545;Sim
10544;Sim
10543;Sim
10542;Sim
9813;SIM
10541;Sim
9811;NÃO
10540;Sim
10516;Sim
10504;Sim
10501;Sim
10499;Sim
10498;Sim
10497;Sim
10487;Sim
10482;Sim
10472;Sim
10471;Sim
10470;Sim
10468;Sim
10467;Sim
10466;Sim
10443;Sim
10442;Sim
10405;Sim
10383;Sim
10377;Sim
10350;Sim
10343;Sim
10342;Sim
10706;Sim
10703;Sim
10694;Sim
10684;Sim
10683;Sim
10682;Sim
10661;Sim
10660;Sim
10657;Sim
10656;Sim
10654;Sim
10653;Sim
10652;Sim
9773;SIM
9772;SIM
9771;SIM
10649;Sim
9769;SIM
10648;Sim
10637;Sim
9766;SIM
10617;Sim
9764;SIM
9763;SIM
10616;Sim
9761;SIM
9760;SIM
9759;SIM
9758;SIM
9757;SIM
9756;SIM
10615;Sim
9754;SIM
9753;SIM
10614;Sim
10613;Sim
10611;Sim
9749;SIM
10607;Sim
10606;Sim
10602;Sim
10601;Sim
10600;Sim
10599;Sim
10598;Sim
10591;Sim
10589;Sim
10574;Sim
10572;Sim
9733;SIM
9732;SIM
9731;SIM
9730;SIM
9729;SIM
10569;Sim
9727;SIM
9726;SIM
9725;SIM
10565;Sim
10561;Sim
10559;Sim
10545;Sim
10544;Sim
10543;Sim
9718;SIM
9717;SIM
9716;SIM
9715;SIM
9713;SIM
9710;SIM
10542;Sim
10541;Sim
10540;Sim
9706;SIM
10516;Sim
10504;Sim
10501;Sim
10499;Sim
10498;Sim
10497;Sim
10487;Sim
10482;Sim
9697;NÃO
10472;Sim
10471;Sim
9694;SIM
10470;Sim
9692;SIM
9690;NÃO
9688;NÃO
9687;NÃO
9686;NÃO
9685;NÃO
9684;NÃO
9683;NÃO
9682;NÃO
9681;NÃO
10468;Sim
10467;Sim
10466;Sim
10443;Sim
10442;Sim
10405;Sim
10383;Sim
10377;Sim
10350;Sim
10343;Sim
9670;SIM
10342;Sim
9543;SIM
12895;Sim
10780;Sim
9215;NÃO
9211;NÃO
9210;NÃO
9208;NÃO
9207;NÃO
9206;NÃO
9185;NÃO
9142;NÃO
9141;NÃO
9137;NÃO
10776;Sim
9119;NÃO
10772;Sim
9083;NÃO
9081;NÃO
9080;NÃO
10770;Sim
10765;Sim
9057;NÃO
9011;NÃO
9010;NÃO
9008;NÃO
10763;Sim
10750;Sim
9003;NÃO
9002;NÃO
10745;Sim
8984;NÃO
8979;NÃO
8978;NÃO
8977;NÃO
8971;NÃO
8970;NÃO
10740;Sim
10739;Sim
8965;NÃO
8960;NÃO
10725;Sim
10723;Sim
12895;Sim
8956;NÃO
8954;NÃO
10780;Sim
8952;NÃO
8951;NÃO
8950;NÃO
10776;Sim
10772;Sim
10770;Sim
10765;Sim
10763;Sim
10750;Sim
8909;NÃO
8908;NÃO
8907;NÃO
10745;Sim
8904;NÃO
10740;Sim
9965;SIM
10739;Sim
9963;SIM
10725;Sim
9961;SIM
9960;SIM
10723;Sim
24573;Sim
9957;SIM
9956;SIM
24569;Sim
24566;Sim
9953;SIM
9952;SIM
24553;Sim
24542;Sim
24172;Sim
9948;SIM
24171;Sim
9946;SIM
9945;SIM
9944;SIM
9943;SIM
9942;SIM
9941;SIM
9940;SIM
9939;SIM
9938;SIM
9937;SIM
9936;SIM
9935;SIM
23045;Sim
23039;Sim
23024;Sim
9931;SIM
9930;SIM
9929;SIM
9928;SIM
9927;SIM
9926;SIM
9925;SIM
9924;SIM
9923;SIM
9922;SIM
23021;Sim
23019;Sim
9919;SIM
9918;SIM
9917;SIM
9916;SIM
9915;SIM
13282;Sim
13281;Sim
13280;Sim
9911;SIM
24573;Sim
24569;Sim
24566;Sim
24553;Sim
24542;Sim
24172;Sim
9904;SIM
9903;SIM
24171;Sim
23045;Sim
9900;NÃO
9899;NÃO
9898;NÃO
23039;Sim
9896;SIM
9895;SIM
9894;NÃO
9893;NÃO
23024;Sim
9891;SIM
9890;SIM
9889;SIM
9888;SIM
9887;NÃO
23021;Sim
23019;Sim
13282;Sim
9882;NÃO
9881;NÃO
9880;NÃO
9879;NÃO
13281;Sim
13280;Sim
55211;Sim
55209;Sim
9874;NÃO
9873;NÃO
55206;Sim
55198;Sim
55211;Sim
9868;SIM
9867;SIM
55209;Sim
55206;Sim
55198;Sim
10201;Sim
10201;Sim
10610;Sim
10610;Sim
8236;Sim
8084;Sim
7723;Sim
7707;Sim
8236;Sim
8084;Sim
7723;Sim
7707;Sim
9851;SIM
13004;Sim
13003;Sim
13002;Sim
13001;Sim
13000;Sim
12998;Sim
12989;Sim
12988;Sim
12987;Sim
12986;Sim
12985;Sim
12984;Sim
12961;Sim
12958;Sim
9834;SIM
9833;SIM
12957;Sim
12956;Sim
12952;Sim
12951;Sim
9828;SIM
12950;Sim
9826;SIM
12949;Sim
12948;Sim
9823;SIM
12947;Sim
12939;Sim
12938;Sim
12936;Sim
12935;Sim
12934;Sim
12931;Sim
12930;Sim
9813;SIM
12929;Sim
9811;NÃO
12928;Sim
12927;Sim
12924;Sim
12923;Sim
12922;Sim
12899;Sim
12898;Sim
12824;Sim
13004;Sim
13003;Sim
13002;Sim
13001;Sim
13000;Sim
12998;Sim
12989;Sim
12988;Sim
12987;Sim
12986;Sim
12985;Sim
12984;Sim
12961;Sim
12958;Sim
12957;Sim
12956;Sim
12952;Sim
12951;Sim
12950;Sim
12949;Sim
12948;Sim
12947;Sim
12939;Sim
12938;Sim
12936;Sim
12935;Sim
12934;Sim
12931;Sim
9773;SIM
9772;SIM
9771;SIM
12930;Sim
9769;SIM
12929;Sim
12928;Sim
9766;SIM
12927;Sim
9764;SIM
9763;SIM
12924;Sim
9761;SIM
9760;SIM
9759;SIM
9758;SIM
9757;SIM
9756;SIM
12923;Sim
9754;SIM
9753;SIM
12922;Sim
12899;Sim
12898;Sim
9749;SIM
12824;Sim
26146;Sim
26145;Sim
26143;Sim
26142;Sim
26130;Sim
26127;Sim
22556;Sim
22554;Sim
22312;Sim
22308;Sim
9733;SIM
9732;SIM
9731;SIM
9730;SIM
9729;SIM
20959;Sim
9727;SIM
9726;SIM
9725;SIM
20949;Sim
13209;Sim
13208;Sim
13186;Sim
13178;Sim
13176;Sim
9718;SIM
9717;SIM
9716;SIM
9715;SIM
9713;SIM
9710;SIM
13173;Sim
13172;Sim
13171;Sim
9706;SIM
13162;Sim
13161;Sim
13159;Sim
13158;Sim
13157;Sim
13151;Sim
13150;Sim
13149;Sim
9697;NÃO
13148;Sim
13145;Sim
9694;SIM
13140;Sim
9692;SIM
9690;NÃO
9688;NÃO
9687;NÃO
9686;NÃO
9685;NÃO
9684;NÃO
9683;NÃO
9682;NÃO
9681;NÃO
13139;Sim
13138;Sim
13137;Sim
13136;Sim
13134;Sim
13133;Sim
13131;Sim
13130;Sim
13129;Sim
13127;Sim
9670;SIM
13125;Sim
9543;SIM
13115;Sim
13111;Sim
9215;NÃO
9211;NÃO
9210;NÃO
9208;NÃO
9207;NÃO
9206;NÃO
9185;NÃO
9142;NÃO
9141;NÃO
9137;NÃO
13110;Sim
9119;NÃO
13109;Sim
9083;NÃO
9081;NÃO
9080;NÃO
13106;Sim
13105;Sim
9057;NÃO
9011;NÃO
9010;NÃO
9008;NÃO
